time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
61.595,-0.0209207089326649,-0.0511285076581987,0.00412941335432138,0.0484674936581589,-0.525722926120025,0.286631798063791,-0.150694843444432,-0.0757769141978459,-0.00441736491634023,0.0967247652311275,-0.310449250056553,0.0848962743041091
61.6,-0.0198386839129649,-0.0509421860404657,0.00416741264700467,0.0483522679978063,-0.522155324644835,0.28487365110342,-0.150120692298326,-0.0758269349388866,-0.00428508191041984,0.0979945436614631,-0.306952159521979,0.0839269681399189
61.605,-0.0187610157940009,-0.0507349628070384,0.00420063588603698,0.0483526573626601,-0.518589914129447,0.283135900803684,-0.149494783394152,-0.0759339083984077,-0.00414658445084715,0.0993030745031326,-0.303535462232203,0.0829824802955071
61.61,-0.0177152297552695,-0.0505236512717994,0.00422772144004427,0.0484648649973607,-0.515041040443126,0.281422933426146,-0.148821526089069,-0.0760990041193615,-0.00400352417764784,0.100642117528825,-0.300204529089904,0.0820648834993712
61.615,-0.0167277245612195,-0.0503244305748429,0.00424753959238139,0.0486838870841377,-0.511522456056684,0.279738368094859,-0.148106495361786,-0.0763234160327285,-0.00385749466179556,0.102002959424431,-0.296963531042975,0.0811758011791335
61.62,-0.0158226939884788,-0.0501523503985104,0.00425924355249952,0.0490039602129913,-0.508046997163827,0.278085016933571,-0.147356423129321,-0.076608228960239,-0.00371002810323902,0.103376545862502,-0.293815316221891,0.0803163704285176
61.625,-0.0150211431517948,-0.0500208916810766,0.00426231036807954,0.0494189982974988,-0.504626301808376,0.276464873313686,-0.146579144905901,-0.0769542754879874,-0.0035625930645549,0.104753631868183,-0.290761307070271,0.0794872142524435
61.63,-0.0143400437504575,-0.0499415923988472,0.00425656951394316,0.0499229957589661,-0.501270578276161,0.27487912823801,-0.145783498070353,-0.0773619886446876,-0.00341659242534202,0.106124950529001,-0.28780142823024,0.0786884256650982
61.635,-0.0137916651187547,-0.0499237452603633,0.00424221750456612,0.0505103766175449,-0.497988430453891,0.273328213565727,-0.144979170864583,-0.0778312568302204,-0.00327336073422151,0.10748139835255,-0.284934075351464,0.0779195659002377
61.64,-0.0133831087709546,-0.0499741720995741,0.00421981756434154,0.0511762731314518,-0.494786744122732,0.271811869572258,-0.144176504314766,-0.0783612882411012,-0.00313416017216999,0.108814233657358,-0.282156133538033,0.0771796784861977
61.645,-0.0131160635052682,-0.0500970778591215,0.0041902841476834,0.0519167224997668,-0.491670635382294,0.270329233296672,-0.143386252333468,-0.0789504925119827,-0.00300017442749193,0.110115282481311,-0.27946305192061,0.0764673202707526
61.65,-0.0129867868086352,-0.0502939852901587,0.00415485287713189,0.0527287755078943,-0.488643459722229,0.268878943305347,-0.142619308102451,-0.0795963873308282,-0.00287249992121449,0.111377144808768,-0.276848977998007,0.075780609696777
61.655,-0.0129863070597619,-0.0505637498237419,0.00411503720814723,0.0536105164394945,-0.485706877790771,0.267459255922566,-0.141886407242159,-0.0802955373139454,-0.00275213401049968,0.112593392639071,-0.27430695213676,0.0751172917812694
61.66,-0.0131008305949469,-0.0509026524553595,0.00407257378474899,0.0545609987147935,-0.482860971751594,0.266068167658944,-0.141197820066286,-0.0810435314138805,-0.00263996003048864,0.113758750696692,-0.27182915917995,0.0744748183943134
61.665,-0.0133123287012971,-0.0513045669004328,0.00402935897974055,0.0555801052103288,-0.480104404351091,0.264703538505497,-0.140563046266613,-0.0818350036001052,-0.00253672930029839,0.114869250514423,-0.269407230731047,0.0738504416263886
