main_run	main_report	main_family	baseline_run	baseline_report	profile	seed	scenario	main_rmse	baseline_rmse	rmse_delta	main_r2	baseline_r2	r2_delta	main_ungated_retained	baseline_ungated_retained	ungated_retained_delta
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	v2_fc_baseline_det_seed23	reports/v2_fc_baseline_det_seed23/reliability_report.json	human	23.0000	test_ood/sensor_delay_jitter	0.2939	0.2996	-0.0057	0.6004	0.5848	0.0155	0.6595	0.7340	-0.0746
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/clean	0.1726	0.1616	0.0110	0.7698	0.7982	-0.0284	0.8156	0.8153	0.0003
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/clean	0.2506	0.2282	0.0224	0.7095	0.7592	-0.0497	0.7303	0.7939	-0.0635
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/insole_missing	0.1903	0.2696	-0.0793	0.7201	0.4381	0.2820	0.6893	0.3966	0.2927
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/encoder_dropout	0.2131	0.3080	-0.0949	0.6491	0.2667	0.3823	0.6483	0.3697	0.2786
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/imu_bias	0.1736	0.1641	0.0095	0.7670	0.7919	-0.0249	0.7915	0.7996	-0.0081
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/packet_loss	0.1729	0.1621	0.0108	0.7689	0.7970	-0.0281	0.8151	0.8148	0.0003
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/stuck_imu	0.1772	0.1989	-0.0217	0.7573	0.6941	0.0632	0.7913	0.6793	0.1120
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/packet_loss_burst	0.1743	0.1634	0.0109	0.7652	0.7936	-0.0284	0.8135	0.8128	0.0007
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/packet_loss_partial	0.1729	0.1620	0.0108	0.7690	0.7970	-0.0281	0.8152	0.8147	0.0006
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/sensor_delay	0.2084	0.2543	-0.0459	0.6641	0.4999	0.1642	0.7513	0.6991	0.0522
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_id/sensor_delay_jitter	0.2112	0.2518	-0.0405	0.6550	0.5099	0.1451	0.7548	0.6956	0.0592
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/insole_missing	0.2734	0.3624	-0.0890	0.6541	0.3923	0.2618	0.6285	0.3262	0.3023
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/encoder_dropout	0.3677	0.4404	-0.0727	0.3745	0.1026	0.2719	0.4088	0.2270	0.1818
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/imu_bias	0.2531	0.2319	0.0212	0.7037	0.7512	-0.0476	0.7017	0.7678	-0.0661
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/packet_loss	0.2510	0.2285	0.0225	0.7085	0.7584	-0.0499	0.7297	0.7936	-0.0639
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/stuck_imu	0.2524	0.2343	0.0181	0.7052	0.7460	-0.0408	0.7177	0.7744	-0.0567
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/packet_loss_burst	0.2518	0.2295	0.0223	0.7067	0.7564	-0.0497	0.7289	0.7929	-0.0640
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/packet_loss_partial	0.2509	0.2285	0.0224	0.7088	0.7585	-0.0497	0.7298	0.7936	-0.0638
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/sensor_delay	0.2910	0.2992	-0.0082	0.6083	0.5859	0.0224	0.6886	0.7360	-0.0473
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	v2_fc_baseline_det_seed7	reports/v2_fc_baseline_det_seed7/reliability_report.json	human	7.0000	test_ood/sensor_delay_jitter	0.2913	0.2983	-0.0069	0.6073	0.5884	0.0189	0.6880	0.7308	-0.0428
