run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	detector	auroc	best_signal	best_signal_auroc	auroc_logit	auroc_aleatoric	auroc_residual	auroc_forecast	auroc_epistemic	auroc_staleness	auroc_coherence	auroc_drift
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/insole_missing	0.9327	logit	0.9883	0.9883	0.0178			0.5402	0.8634	0.5000	0.3113
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/packet_loss	0.7823	staleness	0.9207	0.4997	0.4999			0.4819	0.9207	0.4844	0.5001
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/packet_loss_burst	0.6972	staleness	0.8997	0.4992	0.4999			0.5078	0.8997	0.0855	0.5039
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/packet_loss_partial	0.9423	coherence	0.9995	0.4993	0.5004			0.5018	0.9227	0.9995	0.5005
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/sensor_delay	0.8648	coherence	0.9529	0.5315	0.4558			0.5234	0.5009	0.9529	0.5136
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/sensor_delay_jitter	0.8490	coherence	0.9425	0.5412	0.4550			0.5430	0.5005	0.9425	0.5122
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/stuck_imu	0.9550	coherence	1.0000	0.6017	0.4441			0.5637	0.9545	1.0000	0.4879
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	ood_detection/clean	0.6446	epistemic	0.7405	0.6690	0.4289			0.7405	0.5565	0.5625	0.6659
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/encoder_dropout	0.9453	logit	0.9786	0.9786	0.6701			0.7778	0.9458	0.4999	0.4825
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/imu_bias	0.5327	logit	0.5592	0.5592	0.5180			0.4909	0.5023	0.4998	0.5142
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/insole_missing	0.9110	logit	0.9582	0.9582	0.9392			0.6573	0.8578	0.4999	0.3200
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/packet_loss	0.8977	staleness	0.9380	0.4994	0.4994			0.5071	0.9380	0.4761	0.5000
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/packet_loss_burst	0.7741	staleness	0.9208	0.4999	0.5004			0.5071	0.9208	0.0594	0.5028
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/packet_loss_partial	0.9420	coherence	1.0000	0.4998	0.4997			0.4980	0.9386	1.0000	0.5003
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/sensor_delay	0.8765	coherence	0.9531	0.5143	0.5372			0.5485	0.4970	0.9531	0.5089
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/sensor_delay_jitter	0.8602	coherence	0.9403	0.5227	0.5464			0.5481	0.4960	0.9403	0.5078
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_id/stuck_imu	0.9650	coherence	1.0000	0.5845	0.5894			0.5539	0.9647	1.0000	0.4918
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/encoder_dropout	0.9866	staleness	0.9808	0.9641	0.4895			0.6209	0.9808	0.5006	0.4889
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/imu_bias	0.5327	logit	0.5417	0.5417	0.4993			0.4846	0.5024	0.4998	0.5006
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/insole_missing	0.9337	logit	0.9738	0.9738	0.9166			0.5775	0.8412	0.5006	0.2954
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/packet_loss	0.9127	staleness	0.9632	0.4996	0.4997			0.4704	0.9632	0.4602	0.5008
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/packet_loss_burst	0.8309	staleness	0.9131	0.5006	0.4997			0.4931	0.9131	0.0481	0.5028
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/packet_loss_partial	0.9833	coherence	1.0000	0.4998	0.5000			0.5021	0.9597	1.0000	0.5003
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/sensor_delay	0.9290	coherence	0.9890	0.4987	0.4966			0.5318	0.4983	0.9890	0.5045
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/sensor_delay_jitter	0.9101	coherence	0.9726	0.5005	0.4967			0.5057	0.4998	0.9726	0.5036
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/test_ood/stuck_imu	0.9972	coherence	1.0000	0.5055	0.5176			0.4960	0.9972	1.0000	0.4996
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/encoder_dropout	0.9374	logit	0.9810	0.9810	0.6638			0.8062	0.9374	0.5000	0.4597
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/imu_bias	0.5185	logit	0.5568	0.5568	0.5185			0.4937	0.5010	0.4999	0.5188
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/insole_missing	0.8462	logit	0.9505	0.9505	0.9100			0.6269	0.8017	0.5000	0.3690
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/packet_loss	0.8893	staleness	0.9118	0.4998	0.4997			0.4917	0.9118	0.4737	0.5001
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/packet_loss_burst	0.7931	staleness	0.8824	0.4998	0.4999			0.4987	0.8824	0.0818	0.5026
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/packet_loss_partial	0.9212	coherence	0.9989	0.4997	0.4997			0.4991	0.9134	0.9989	0.5001
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/sensor_delay	0.8021	coherence	0.9374	0.5031	0.5321			0.5287	0.4988	0.9374	0.5153
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/sensor_delay_jitter	0.7901	coherence	0.9215	0.5085	0.5375			0.5302	0.4990	0.9215	0.5165
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/train/stuck_imu	0.9666	coherence	1.0000	0.5787	0.5772			0.5719	0.9660	1.0000	0.4868
v2_fc_ablation_det_aug_seed23	reports/v2_fc_ablation_det_aug_seed23/reliability_report.json	ablation	human	det_aug	eval	23.0000	8.0000	0.4716	fault_detection/val/encoder_dropout	0.9297	logit	0.9558	0.9558	0.6730			0.7702	0.9341	0.5000	0.4789
