run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	scenario	policy_source	selected_softness	selected_deadband	met_wrong_budget	wrong_limit	gated_wrong	ungated_wrong	gate_wrong_delta	gated_retained	ungated_retained	gate_retained_delta	gate_retained_ratio	mean_gate	nature_wrong	nature_retained	retained_delta
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/packet_loss	selected_val_gate	2.0000	1.0414	0.0000	0.0692	0.0775	0.0780	-0.0005	0.7573	0.7893	-0.0319	0.9595	0.9736	0.0592	0.9611	-0.2037
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/stuck_imu	selected_val_gate	2.0000	1.0414	1.0000	0.1027	0.0800	0.0884	-0.0084	0.6358	0.7554	-0.1196	0.8416	0.8787	0.0927	0.8554	-0.2197
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/packet_loss_burst	selected_val_gate	2.0000	1.0414	0.0000	0.0707	0.0781	0.0788	-0.0006	0.7459	0.7880	-0.0421	0.9465	0.9596	0.0607	0.9583	-0.2124
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/packet_loss_partial	selected_val_gate	2.0000	1.0414	0.0000	0.0692	0.0775	0.0780	-0.0006	0.7582	0.7895	-0.0313	0.9604	0.9746	0.0592	0.9612	-0.2030
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/sensor_delay	selected_val_gate	2.0000	1.0414	1.0000	0.1644	0.1012	0.1038	-0.0026	0.6338	0.7341	-0.1003	0.8634	0.9414	0.1544	0.8038	-0.1700
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_id/sensor_delay_jitter	selected_val_gate	2.0000	1.0414	1.0000	0.1638	0.1047	0.1076	-0.0029	0.6298	0.7351	-0.1053	0.8567	0.9334	0.1538	0.8011	-0.1713
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/insole_missing	selected_val_gate	2.0000	1.0414	1.0000	0.1580	0.0776	0.0914	-0.0138	0.4763	0.5551	-0.0788	0.8580	0.8950	0.1480	0.3055	0.1708
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/encoder_dropout	selected_val_gate	2.0000	1.0414	1.0000	0.1958	0.1493	0.1623	-0.0130	0.2526	0.4639	-0.2113	0.5445	0.8289	0.1858	0.5307	-0.2781
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/imu_bias	selected_val_gate	2.0000	1.0414	0.0000	0.0490	0.0660	0.0727	-0.0066	0.6548	0.6797	-0.0250	0.9633	0.9517	0.0390	1.0997	-0.4449
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/packet_loss	selected_val_gate	2.0000	1.0414	0.0000	0.0454	0.0666	0.0736	-0.0070	0.6753	0.7027	-0.0274	0.9611	0.9485	0.0354	1.0840	-0.4087
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/stuck_imu	selected_val_gate	2.0000	1.0414	0.0000	0.0565	0.0676	0.0802	-0.0126	0.6545	0.6923	-0.0379	0.9453	0.9298	0.0465	1.0625	-0.4080
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/packet_loss_burst	selected_val_gate	2.0000	1.0414	0.0000	0.0467	0.0673	0.0745	-0.0071	0.6636	0.7013	-0.0378	0.9461	0.9334	0.0367	1.0813	-0.4178
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/packet_loss_partial	selected_val_gate	2.0000	1.0414	0.0000	0.0456	0.0668	0.0737	-0.0070	0.6748	0.7028	-0.0279	0.9603	0.9485	0.0356	1.0837	-0.4089
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/sensor_delay	selected_val_gate	2.0000	1.0414	1.0000	0.1018	0.0858	0.0997	-0.0139	0.6243	0.6597	-0.0355	0.9463	0.9332	0.0918	0.9873	-0.3631
v2_fc_main_seed23	reports/v2_fc_main_seed23/reliability_report.json	main	human	prob_aug_recon_fc	eval	23.0000	2.0000	1.0414	test_ood/sensor_delay_jitter	selected_val_gate	2.0000	1.0414	1.0000	0.0987	0.0856	0.0997	-0.0142	0.6238	0.6595	-0.0357	0.9459	0.9298	0.0887	0.9881	-0.3643
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/clean	selected_val_gate	2.0000	1.0520	0.0000	0.0683	0.0740	0.0746	-0.0006	0.7810	0.8156	-0.0346	0.9575	0.9774	0.0583	0.9625	-0.1815
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_ood/clean	selected_val_gate	2.0000	1.0520	0.0000	0.0450	0.0681	0.0764	-0.0082	0.7009	0.7303	-0.0294	0.9597	0.9499	0.0350	1.0846	-0.3836
v2_fc_main_seed7	reports/v2_fc_main_seed7/reliability_report.json	main	human	prob_aug_recon_fc	eval	7.0000	2.0000	1.0520	test_id/insole_missing	selected_val_gate	2.0000	1.0520	1.0000	0.2116	0.0811	0.0837	-0.0026	0.5461	0.6893	-0.1432	0.7923	0.8967	0.2016	0.4260	0.1201
