profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
human_execution	test_ood/imu_bias	1.0000	0.2583	0.0000					0.6913	0.0000					0.0741	0.0000	0.0819	0.0000	-0.0078	0.0000					0.7126	0.0000	0.7449	0.0000	-0.0323	0.0000	0.9566	0.0000							0.9499	0.0000	0.1010	0.0000	0.0799	0.0000	0.2093	0.0000
human_execution	test_ood/insole_missing	1.0000	0.2841	0.0000					0.6266	0.0000					0.0840	0.0000	0.0975	0.0000	-0.0135	0.0000					0.5150	0.0000	0.6657	0.0000	-0.1508	0.0000	0.7735	0.0000							0.8558	0.0000	0.0710	0.0000	0.0524	0.0000	0.2209	0.0000
human_execution	test_ood/packet_loss	1.0000	0.2595	0.0000					0.6885	0.0000					0.0765	0.0000	0.0844	0.0000	-0.0079	0.0000					0.7220	0.0000	0.7578	0.0000	-0.0359	0.0000	0.9527	0.0000							0.9465	0.0000	0.1022	0.0000	0.0804	0.0000	0.2127	0.0000
human_execution	test_ood/packet_loss_burst	1.0000	0.2603	0.0000					0.6865	0.0000					0.0771	0.0000	0.0850	0.0000	-0.0079	0.0000					0.7096	0.0000	0.7569	0.0000	-0.0473	0.0000	0.9375	0.0000							0.9304	0.0000	0.1003	0.0000	0.0788	0.0000	0.2136	0.0000
human_execution	test_ood/packet_loss_partial	1.0000	0.2595	0.0000					0.6885	0.0000					0.0762	0.0000	0.0842	0.0000	-0.0080	0.0000					0.7232	0.0000	0.7578	0.0000	-0.0346	0.0000	0.9543	0.0000							0.9472	0.0000	0.1023	0.0000	0.0805	0.0000	0.2125	0.0000
human_execution	test_ood/sensor_delay	1.0000	0.3051	0.0000					0.5694	0.0000					0.0999	0.0000	0.1111	0.0000	-0.0112	0.0000					0.6802	0.0000	0.7212	0.0000	-0.0410	0.0000	0.9432	0.0000							0.9375	0.0000	0.0890	0.0000	0.0514	0.0000	0.2430	0.0000
human_execution	test_ood/sensor_delay_jitter	1.0000	0.3057	0.0000					0.5677	0.0000					0.0994	0.0000	0.1121	0.0000	-0.0127	0.0000					0.6781	0.0000	0.7185	0.0000	-0.0403	0.0000	0.9439	0.0000							0.9347	0.0000	0.0892	0.0000	0.0514	0.0000	0.2409	0.0000
human_execution	test_ood/stuck_imu	1.0000	0.2599	0.0000					0.6875	0.0000					0.0796	0.0000	0.0910	0.0000	-0.0114	0.0000					0.6984	0.0000	0.7478	0.0000	-0.0495	0.0000	0.9339	0.0000							0.9280	0.0000	0.0992	0.0000	0.0770	0.0000	0.2020	0.0000
human_interaction	test_id/clean	1.0000	0.1782	0.0000					0.7545	0.0000					0.0822	0.0000	0.0827	0.0000	-0.0006	0.0000					0.7596	0.0000	0.7868	0.0000	-0.0272	0.0000	0.9654	0.0000							0.9783	0.0000	0.0999	0.0000	0.1004	0.0000	0.2080	0.0000
human_interaction	test_id/encoder_dropout	1.0000	0.2042	0.0000					0.6777	0.0000					0.0937	0.0000	0.1063	0.0000	-0.0126	0.0000					0.3927	0.0000	0.6676	0.0000	-0.2748	0.0000	0.5883	0.0000							0.7907	0.0000	0.0459	0.0000	0.0454	0.0000	0.2291	0.0000
human_interaction	test_id/imu_bias	1.0000	0.1789	0.0000					0.7526	0.0000					0.0823	0.0000	0.0830	0.0000	-0.0007	0.0000					0.7477	0.0000	0.7733	0.0000	-0.0256	0.0000	0.9669	0.0000							0.9786	0.0000	0.0974	0.0000	0.0977	0.0000	0.2116	0.0000
