run_family	training_mode	profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
ablation	det_noaug	human	fault_detection/train/imu_bias	3.0000	0.5175	0.0154	0.5342	0.0160	0.5256	0.0265	0.4843	0.0521					0.4933	0.0066	0.5010	0.0000	0.4999	0.0000	0.5185	0.0005
ablation	det_noaug	human	fault_detection/train/insole_missing	3.0000	0.7276	0.0858	0.8020	0.0008	0.4850	0.2331	0.3994	0.2638					0.3233	0.0504	0.8020	0.0008	0.5000	0.0000	0.3675	0.0013
ablation	det_noaug	human	fault_detection/train/packet_loss	3.0000	0.8954	0.0147	0.9116	0.0003	0.4998	0.0001	0.5000	0.0002					0.4964	0.0017	0.9116	0.0003	0.4748	0.0011	0.5002	0.0000
ablation	det_noaug	human	fault_detection/train/packet_loss_burst	3.0000	0.8422	0.0349	0.8837	0.0011	0.4994	0.0003	0.5000	0.0006					0.5006	0.0028	0.8837	0.0011	0.0800	0.0018	0.5028	0.0006
ablation	det_noaug	human	fault_detection/train/packet_loss_partial	3.0000	0.9188	0.0047	0.9988	0.0001	0.4998	0.0001	0.5000	0.0002					0.4997	0.0028	0.9135	0.0007	0.9988	0.0001	0.5001	0.0001
ablation	det_noaug	human	fault_detection/train/sensor_delay	3.0000	0.6950	0.1700	0.9374	0.0000	0.4833	0.0050	0.4966	0.0191					0.4810	0.0017	0.4988	0.0000	0.9374	0.0000	0.5152	0.0001
ablation	det_noaug	human	fault_detection/train/sensor_delay_jitter	3.0000	0.6844	0.1606	0.9203	0.0023	0.4803	0.0059	0.4953	0.0178					0.4873	0.0068	0.4989	0.0002	0.9203	0.0023	0.5160	0.0006
ablation	det_noaug	human	fault_detection/train/stuck_imu	3.0000	0.9665	0.0005	1.0000	0.0000	0.4650	0.0043	0.4913	0.0216					0.5325	0.0048	0.9661	0.0003	1.0000	0.0000	0.4872	0.0004
ablation	det_noaug	human	fault_detection/val/encoder_dropout	3.0000	0.9102	0.0207	0.9343	0.0004	0.5490	0.1083	0.3954	0.2191					0.4359	0.0164	0.9343	0.0004	0.5000	0.0000	0.4791	0.0005
ablation	det_noaug	human	fault_detection/val/imu_bias	3.0000	0.5207	0.0180	0.5331	0.0187	0.5259	0.0270	0.4810	0.0582					0.4928	0.0075	0.5014	0.0002	0.5000	0.0000	0.5135	0.0006
ablation	det_noaug	human	fault_detection/val/insole_missing	3.0000	0.7643	0.1050	0.8623	0.0009	0.5455	0.2517	0.3530	0.2061					0.3047	0.0512	0.8623	0.0009	0.5000	0.0000	0.3122	0.0014
ablation	det_noaug	human	fault_detection/val/packet_loss	3.0000	0.8470	0.0629	0.9197	0.0013	0.4997	0.0002	0.4999	0.0002					0.5003	0.0026	0.9197	0.0013	0.4784	0.0052	0.5003	0.0006
ablation	det_noaug	human	fault_detection/val/packet_loss_burst	3.0000	0.7955	0.0887	0.8986	0.0009	0.4994	0.0006	0.5002	0.0010					0.5029	0.0094	0.8986	0.0009	0.0791	0.0056	0.5050	0.0013
ablation	det_noaug	human	fault_detection/val/packet_loss_partial	3.0000	0.9355	0.0116	0.9997	0.0001	0.4996	0.0002	0.5002	0.0008					0.4960	0.0018	0.9222	0.0005	0.9997	0.0001	0.5003	0.0003
ablation	det_noaug	human	fault_detection/val/sensor_delay	3.0000	0.7389	0.2061	0.9529	0.0000	0.4854	0.0034	0.5116	0.0175					0.4870	0.0090	0.5009	0.0001	0.9529	0.0000	0.5136	0.0001
ablation	det_noaug	human	fault_detection/val/sensor_delay_jitter	3.0000	0.7133	0.1842	0.9333	0.0081	0.4817	0.0056	0.5102	0.0139					0.4931	0.0054	0.5008	0.0004	0.9333	0.0081	0.5131	0.0021
ablation	det_noaug	human	fault_detection/val/stuck_imu	3.0000	0.9547	0.0004	1.0000	0.0000	0.4744	0.0119	0.4792	0.0188					0.5402	0.0067	0.9543	0.0002	1.0000	0.0000	0.4879	0.0003
ablation	det_noaug	human	ood_detection/clean	3.0000	0.6350	0.0495	0.7464	0.0102	0.5401	0.0795	0.4887	0.2357					0.7464	0.0102	0.5564	0.0001	0.5624	0.0001	0.6658	0.0001
ablation	prob_aug	human	fault_detection/test_id/encoder_dropout	3.0000	0.9459	0.0002	0.9459	0.0002	0.6014	0.0320	0.5211	0.0393					0.5590	0.0335	0.9459	0.0002	0.4999	0.0000	0.4825	0.0002
ablation	prob_aug	human	fault_detection/test_id/imu_bias	3.0000	0.5023	0.0001	0.5199	0.0088	0.5199	0.0089	0.4609	0.0029					0.4739	0.0013	0.5023	0.0001	0.4999	0.0001	0.5138	0.0005
ablation	prob_aug	human	fault_detection/test_id/insole_missing	3.0000	0.8581	0.0010	0.8581	0.0010	0.4090	0.0453	0.5030	0.0204					0.4910	0.0145	0.8581	0.0010	0.4999	0.0000	0.3183	0.0015
ablation	prob_aug	human	fault_detection/test_id/packet_loss	3.0000	0.9375	0.0005	0.9375	0.0005	0.4995	0.0001	0.4998	0.0000					0.4994	0.0041	0.9375	0.0005	0.4794	0.0046	0.5000	0.0001
ablation	prob_aug	human	fault_detection/test_id/packet_loss_burst	3.0000	0.9212	0.0017	0.9212	0.0017	0.4989	0.0003	0.5007	0.0005					0.4970	0.0042	0.9212	0.0017	0.0549	0.0043	0.5020	0.0007
ablation	prob_aug	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9388	0.0003	1.0000	0.0000	0.4994	0.0002	0.5001	0.0003					0.4969	0.0037	0.9388	0.0003	1.0000	0.0000	0.5000	0.0003
ablation	prob_aug	human	fault_detection/test_id/sensor_delay	3.0000	0.4970	0.0000	0.9531	0.0000	0.4100	0.0133	0.5751	0.0013					0.5257	0.0109	0.4970	0.0000	0.9531	0.0000	0.5088	0.0001
ablation	prob_aug	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.4969	0.0008	0.9348	0.0096	0.4056	0.0103	0.5787	0.0034					0.5314	0.0064	0.4969	0.0008	0.9348	0.0096	0.5107	0.0034
ablation	prob_aug	human	fault_detection/test_id/stuck_imu	3.0000	0.9648	0.0002	1.0000	0.0000	0.4439	0.0111	0.5586	0.0082					0.5445	0.0051	0.9648	0.0002	1.0000	0.0000	0.4924	0.0005
ablation	prob_aug	human	fault_detection/test_ood/encoder_dropout	3.0000	0.9809	0.0004	0.9809	0.0004	0.5332	0.0133	0.4778	0.0408					0.4508	0.0434	0.9809	0.0004	0.5005	0.0001	0.4887	0.0002
ablation	prob_aug	human	fault_detection/test_ood/imu_bias	3.0000	0.5024	0.0002	0.5147	0.0122	0.5147	0.0122	0.4666	0.0022					0.4689	0.0199	0.5024	0.0002	0.4997	0.0001	0.5004	0.0002
ablation	prob_aug	human	fault_detection/test_ood/insole_missing	3.0000	0.8417	0.0013	0.8417	0.0013	0.3767	0.0268	0.4838	0.0117					0.4360	0.0202	0.8417	0.0013	0.5005	0.0001	0.2930	0.0021
ablation	prob_aug	human	fault_detection/test_ood/packet_loss	3.0000	0.9610	0.0032	0.9610	0.0032	0.4997	0.0003	0.4998	0.0006					0.4962	0.0136	0.9610	0.0032	0.4565	0.0052	0.5003	0.0006
ablation	prob_aug	human	fault_detection/test_ood/packet_loss_burst	3.0000	0.9195	0.0057	0.9195	0.0057	0.4994	0.0027	0.4999	0.0012					0.4981	0.0061	0.9195	0.0057	0.0535	0.0120	0.5008	0.0017
ablation	prob_aug	human	fault_detection/test_ood/packet_loss_partial	3.0000	0.9600	0.0016	0.9999	0.0001	0.4993	0.0004	0.4995	0.0006					0.4967	0.0162	0.9600	0.0016	0.9999	0.0001	0.5003	0.0003
ablation	prob_aug	human	fault_detection/test_ood/sensor_delay	3.0000	0.4983	0.0001	0.9890	0.0000	0.4521	0.0027	0.5190	0.0021					0.5096	0.0235	0.4983	0.0001	0.9890	0.0000	0.5044	0.0002
ablation	prob_aug	human	fault_detection/test_ood/sensor_delay_jitter	3.0000	0.4986	0.0010	0.9632	0.0101	0.4468	0.0056	0.5201	0.0037					0.5207	0.0013	0.4986	0.0010	0.9632	0.0101	0.5040	0.0019
ablation	prob_aug	human	fault_detection/test_ood/stuck_imu	3.0000	0.9971	0.0001	1.0000	0.0000	0.4700	0.0140	0.5154	0.0082					0.5086	0.0264	0.9971	0.0001	1.0000	0.0000	0.4997	0.0003
ablation	prob_aug	human	fault_detection/train/encoder_dropout	3.0000	0.9376	0.0005	0.9376	0.0005	0.5645	0.0305	0.5566	0.0398					0.5898	0.0410	0.9376	0.0005	0.5000	0.0000	0.4597	0.0005
ablation	prob_aug	human	fault_detection/train/imu_bias	3.0000	0.5010	0.0000	0.5223	0.0069	0.5185	0.0103	0.4616	0.0014					0.4797	0.0032	0.5010	0.0000	0.4999	0.0000	0.5185	0.0005
ablation	prob_aug	human	fault_detection/train/insole_missing	3.0000	0.8020	0.0008	0.8020	0.0008	0.4178	0.0419	0.5011	0.0050					0.4827	0.0026	0.8020	0.0008	0.5000	0.0000	0.3675	0.0013
ablation	prob_aug	human	fault_detection/train/packet_loss	3.0000	0.9116	0.0003	0.9116	0.0003	0.4997	0.0000	0.5000	0.0001					0.4978	0.0028	0.9116	0.0003	0.4748	0.0011	0.5002	0.0000
ablation	prob_aug	human	fault_detection/train/packet_loss_burst	3.0000	0.8837	0.0011	0.8837	0.0011	0.4986	0.0003	0.5005	0.0004					0.4989	0.0031	0.8837	0.0011	0.0800	0.0018	0.5028	0.0006
ablation	prob_aug	human	fault_detection/train/packet_loss_partial	3.0000	0.9135	0.0007	0.9988	0.0001	0.4996	0.0000	0.5000	0.0001					0.4991	0.0026	0.9135	0.0007	0.9988	0.0001	0.5001	0.0001
ablation	prob_aug	human	fault_detection/train/sensor_delay	3.0000	0.4988	0.0000	0.9374	0.0000	0.4015	0.0148	0.5810	0.0022					0.5191	0.0071	0.4988	0.0000	0.9374	0.0000	0.5152	0.0001
ablation	prob_aug	human	fault_detection/train/sensor_delay_jitter	3.0000	0.4989	0.0002	0.9203	0.0023	0.4009	0.0155	0.5824	0.0024					0.5216	0.0074	0.4989	0.0002	0.9203	0.0023	0.5160	0.0006
ablation	prob_aug	human	fault_detection/train/stuck_imu	3.0000	0.9661	0.0003	1.0000	0.0000	0.4285	0.0187	0.5660	0.0124					0.5424	0.0149	0.9661	0.0003	1.0000	0.0000	0.4872	0.0004
ablation	prob_aug	human	fault_detection/val/encoder_dropout	3.0000	0.9343	0.0004	0.9343	0.0004	0.5884	0.0325	0.5561	0.0324					0.5762	0.0243	0.9343	0.0004	0.5000	0.0000	0.4791	0.0005
ablation	prob_aug	human	fault_detection/val/imu_bias	3.0000	0.5014	0.0002	0.5214	0.0079	0.5214	0.0079	0.4602	0.0015					0.4848	0.0105	0.5014	0.0002	0.5000	0.0000	0.5135	0.0006
ablation	prob_aug	human	fault_detection/val/insole_missing	3.0000	0.8623	0.0009	0.8623	0.0009	0.4324	0.0433	0.4476	0.0086					0.4511	0.0229	0.8623	0.0009	0.5000	0.0000	0.3122	0.0014
ablation	prob_aug	human	fault_detection/val/packet_loss	3.0000	0.9197	0.0013	0.9197	0.0013	0.4997	0.0001	0.5002	0.0001					0.4973	0.0020	0.9197	0.0013	0.4784	0.0052	0.5003	0.0006
ablation	prob_aug	human	fault_detection/val/packet_loss_burst	3.0000	0.8986	0.0009	0.8986	0.0009	0.4989	0.0005	0.5002	0.0006					0.5013	0.0008	0.8986	0.0009	0.0791	0.0056	0.5050	0.0013
ablation	prob_aug	human	fault_detection/val/packet_loss_partial	3.0000	0.9222	0.0005	0.9997	0.0001	0.4996	0.0002	0.5001	0.0000					0.5010	0.0085	0.9222	0.0005	0.9997	0.0001	0.5003	0.0003
ablation	prob_aug	human	fault_detection/val/sensor_delay	3.0000	0.5009	0.0001	0.9529	0.0000	0.4175	0.0121	0.5706	0.0014					0.5218	0.0025	0.5009	0.0001	0.9529	0.0000	0.5136	0.0001
ablation	prob_aug	human	fault_detection/val/sensor_delay_jitter	3.0000	0.5008	0.0004	0.9333	0.0081	0.4170	0.0141	0.5706	0.0033					0.5276	0.0115	0.5008	0.0004	0.9333	0.0081	0.5131	0.0021
ablation	prob_aug	human	fault_detection/val/stuck_imu	3.0000	0.9543	0.0002	1.0000	0.0000	0.4386	0.0132	0.5604	0.0129					0.5477	0.0183	0.9543	0.0002	1.0000	0.0000	0.4879	0.0003
ablation	prob_aug	human	ood_detection/clean	3.0000	0.6745	0.0074	0.7254	0.0114	0.4817	0.0394	0.7068	0.0082					0.7254	0.0114	0.5564	0.0001	0.5624	0.0001	0.6658	0.0001
ablation	prob_aug_recon	human	fault_detection/test_id/encoder_dropout	3.0000	0.9563	0.0057	0.9462	0.0002	0.6194	0.0217	0.4908	0.0381	0.8914	0.0166			0.5535	0.0365	0.9462	0.0002	0.5000	0.0000	0.4825	0.0002
ablation	prob_aug_recon	human	fault_detection/test_id/imu_bias	3.0000	0.5024	0.0005	0.5380	0.0032	0.5380	0.0032	0.4529	0.0043	0.5043	0.0033			0.4851	0.0070	0.5021	0.0001	0.5000	0.0001	0.5143	0.0004
ablation	prob_aug_recon	human	fault_detection/test_id/insole_missing	3.0000	0.9320	0.0108	0.9502	0.0184	0.5319	0.0474	0.4347	0.0419	0.9502	0.0184			0.4362	0.0247	0.8594	0.0005	0.5000	0.0000	0.3205	0.0014
ablation	prob_aug_recon	human	fault_detection/test_id/packet_loss	3.0000	0.8794	0.0037	0.9381	0.0006	0.4995	0.0002	0.5000	0.0002	0.5006	0.0002			0.5027	0.0058	0.9381	0.0006	0.4794	0.0047	0.4999	0.0000
